Hostplus Superannuation Fund,,,,
HC Growth - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Assets,,,Summary,
Redding Ridge Holdings,,,"33,688,410",0.56%
Total,,,"192,358,269",3.20%
Listed Equity,,,,
Name/kind of investment item,Security Identifier,Units held,Value (AUD),Weighting (%)
3I GROUP PLC ORD,B1YW440,"62,416","4,499,701",0.07%
3M CO COM,2595708,578,"120,535",0.00%
3PEAK INC-A,CNE1000042T2 (ISIN),"1,567","31,895",0.00%
A P MOLLER - MAERSK A/S-CL A 'A'DKK1000,4253059,4,"9,258",0.00%
A2 MILK CO LTD ATM,BWSRTS7,"891,516","5,152,962",0.09%
AAC TECHNOLOGIES HOLDINGS IN,B85LKS1,"219,657","1,712,667",0.03%
AAK AB,BF2FPV3,"20,698","954,838",0.02%
ABACUS GROUP,BQV4PB8,"52,493","57,742",0.00%
ABACUS STORAGE KING,BQYLGZ7,"29,584","33,281",0.00%
ABB LTD-ZUERICH,7108899,"1,776","155,302",0.00%
ABBOTT LABORATORIES COM NPV,2002305,"1,880","343,417",0.01%
ABBVIE INC,B92SR70,"1,861","534,168",0.01%
ABIOMED INC - CVR,BQBG6P5,18,0,0.00%
ABN AMRO GROUP NV-CVA/W/I ABN,BYQP136,584,"14,535",0.00%
ABSA GROUP LTD,BFX05H3,"96,382","1,565,336",0.03%
ABS-CBN BROADCASTING-DEP SHS PDR EACH RE,6177533,"335,393","35,587",0.00%
ABU DHABI COMMERCIAL BANK ADCB,6545464,"396,833","1,818,245",0.03%
ACCENT GROUP LTD,BD20RS5,"443,507","1,037,806",0.02%
ACCENTURE PLC-CL A,B4BNMY3,676,"384,242",0.01%
ACCIONA S.A. SHS,5579107,29,"5,335",0.00%
ACCOR S A,5852842,"4,812","378,604",0.01%
ACCTON TECH CORP SHS,6005214,"94,732","3,607,504",0.06%
ACS ACTIVIDADES CONS Y SERV ORD,B01FLQ6,235,"19,066",0.00%
ADAIRS LTD ADH,BYYT7Q5,"36,912","99,663",0.00%
ADDTECH AB-B SHARES,BLN8T44,-244,"-10,726",0.00%
ADIDAS AG NPV,4031976,140,"55,381",0.00%
ADMIRAL GROUP PLC ORD GBP0.001,B02J639,149,"7,965",0.00%
ADOBE INC,2008154,"5,456","3,918,801",0.07%
ADP EUR3,B164FY1,47,"8,733",0.00%
ADRIATIC METALS PLC-CDI,BD215T5,-22,-85,0.00%
ADVANCED DRAINAGE SYSTEMS IN WMS,BP7RS59,"11,851","2,212,751",0.04%
ADVANCED INFO SERVICE-FOR RG,6412591,"41,205","560,201",0.01%
ADVANCED MICRO DEVICES COM,2007849,"25,597","4,993,673",0.08%
ADVANCED MICRO-FABRICATION-A,BK71F66,"2,855","118,813",0.00%
ADVANTEST CORP ORD,6870490,787,"74,371",0.00%
ADYEN NV ADYEN,BZ1HM42,"4,298","10,330,097",0.17%
AEGON LTD,BPH0Y27,"4,301","41,142",0.00%
AENA SME SA,BVRZ8L1,95,"31,349",0.00%
AEON CO LTD,6480048,793,"30,106",0.00%
AERCAP HOLDINGS NV EUR0.01,B1HHKD3,227,"35,080",0.00%
AEROFLOT-RUSSIAN AIRLINES RUB1(USD),B58X588,"60,853",0,0.00%
AES CORP COM,2002479,938,"19,491",0.00%
AET AND D HOLDINGS,583032S (Sedol),"4,541",0,0.00%
AFK SISTEMA-REG S SPONS GDR,B05N809,"5,725",0,0.00%
AFLAC INC,2026361,620,"103,665",0.00%
AGC INC,6055208,308,"14,632",0.00%
AGEAS,B86S2N0,8,657,0.00%
AGILENT TECHNOLOGIES I COM,2520153,320,"69,372",0.00%
AGL ENERGY LTD,BSS7GP5,"376,891","4,255,100",0.07%
AGNICO EAGLE MINES LTD,2009823,662,"83,621",0.00%
AIA GROUP LTD USD1.00,B4TX8S1,"349,233","4,088,097",0.07%
AIB GROUP PLC,BF0L353,"36,481","325,201",0.01%
AICHI FINANCIAL GROUP INC,BP29PF9,"24,869","642,270",0.01%
AINSWORTH GAME TECHNOLOGY LT NPV,6427829,"242,311","209,599",0.00%
AIR CANADA AC,BSDHYK1,132,"3,293",0.00%
AIR LIQUIDE SA,B1YXBJ7,548,"143,790",0.00%
AIR NEW ZEALAND LTD NPV,6426569,"1,016,572","554,032",0.01%
AIR PRODS & CHEMS INC COM,2011602,220,"103,275",0.00%
AIRBNB INC,BMGYYH4,464,"98,388",0.00%
AISIN CORP,6010702,285,"5,209",0.00%
AITKEN SPENCE PLC SPEN,6009391,"1,063,774","850,271",0.01%
AJINOMOTO INC COM,6010906,409,"27,151",0.00%
AK TRANSNEFT PJSC,B59NHY7,"1,359",0,0.00%
AKAMAI TECHNOLOGIES COM STK USD0.01,2507457,137,"21,219",0.00%
AKER BP ASA,B1L95G3,229,"7,215",0.00%
AKZO NOBEL,BJ2KSG2,176,"17,107",0.00%
ALBEMARLE CORP,2046853,121,"16,823",0.00%
ALBERTSONS COS INC - CLASS A,BYNQ369,454,"14,401",0.00%
ALCOA CORP,BYNF418,"17,302","1,055,739",0.02%
ALCOA CORP-CDI,BSY2LN7,"416,980","24,735,264",0.41%
ALCON INC,BJT1GR5,475,"65,132",0.00%
ALDAR PROPERTIES PJSC ALDAR,B0LX3Y2,"452,727","1,528,885",0.03%
ALEXANDRIA REAL ESTATE EQUIT COM STK USD,2009210,203,"32,017",0.00%
ALFA LAVAL AB,7332687,656,"44,358",0.00%
ALIBABA GROUP HOLDING LTD,BK6YZP5,"209,146","3,583,219",0.06%
ALIBABA GROUP HOLDING-SP ADR,BP41ZD1,"15,884","2,175,193",0.04%
ALIGN TECHNOLOGY INC COM USD0.0001,2679204,"6,050","2,037,389",0.03%
ALIMENTATION COUCHE-TARD INC,BL56KN2,"1,017","91,081",0.00%
ALLEGION PLC CIM USD0.01 'WI',BFRT3W7,"6,542","1,380,822",0.02%
ALLFUNDS GROUP PLC,BNTJ354,"413,360","3,484,278",0.06%
ALLIANT ENERGY CORP COM,2973821,227,"21,651",0.00%
ALLIANZ SE-REG,5231485,395,"195,363",0.00%
ALLSTATE CORP COM,2019952,282,"87,740",0.00%
ALLY FINANCIAL INC ALLY,B72XK05,330,"19,169",0.00%
ALNYLAM PHARMACEUTICALS INC COM USD0.01,B00FWN1,123,"46,624",0.00%
ALPHA HPA LTD,BH0K666,"635,551","565,640",0.01%
ALPHA METALLURGICAL RESOURCE,BMFND53,"1,614","521,557",0.01%
ALPHABET INC-CL A,BYVY8G0,"59,991","18,341,733",0.31%
ALPHABET INC-CL C,BYY88Y7,"21,345","6,565,242",0.11%
ALS LTD,B86SZR5,"791,930","11,942,302",0.20%
ALSTOM,B0DJ8Q5,495,"17,834",0.00%
ALSTOM SA-SCRIP,BMY8SG5,0,0,0.00%
ALTAGAS LTD COM NPV,B43WJC5,86,"3,219",0.00%
ALTIUS MINERALS CORPORATION COM NPV,2122355,"48,466","1,448,872",0.02%
ALTRIA GROUP INC,2692632,"1,820","153,692",0.00%
ALUMINUM CORP OF CHINA LTD,BP3R4D3,"108,633","175,659",0.00%
AMADEUS IT GROUP SA,B3MSM28,"20,363","2,322,600",0.04%
AMAERO INTERNATIONAL LTD,BKRQJZ8,"2,022,893","505,723",0.01%
AMAZON COM INC COM,2000019,"86,295","30,577,937",0.51%
AMCOR PLC,BJ1F307,"1,306","19,842",0.00%
AMCOR PLC-CDI,6066608,"863,618","12,928,354",0.22%
AMERADA HESS CORP COM,2023748,275,"59,025",0.00%
AMEREN CORP COM,2050832,363,"52,276",0.00%
AMERICA MOVIL SAB DE C-SER B,BMVRB77,"765,779","889,282",0.01%
AMERICA MOVIL SAB DE CV,BNHN4P5,"291,173","6,729,683",0.11%
AMERICAN AIRLINES GROUP INC COM USD1,BCV7KT2,"40,816","1,149,027",0.02%
AMERICAN ELEC PWR INC COM,2026242,514,"76,596",0.00%
AMERICAN EXPRESS CO COM,2026082,"20,518","9,835,512",0.16%
AMERICAN FINL GROUP IN COM,2134532,69,"15,359",0.00%
AMERICAN HOMES 4 RENT- A AMERICAN HOMES,BCF5RR9,414,"25,039",0.00%
AMERICAN INTL GROUP IN COM,2027342,"36,373","4,276,717",0.07%
AMERICAN TOWER CORP COM NEW USD0.01,B7FBFL2,473,"140,063",0.00%
AMERICAN WATER WORKS CO INC COM STK USD0,B2R3PV1,246,"49,403",0.00%
AMERIPRISE FINANCIAL INC COM,B0J7D57,112,"96,038",0.00%
AMETEK INC COM USD0.01,2089212,199,"57,802",0.00%
AMGEN INC COM,2023607,571,"240,560",0.00%
AMOREPACIFIC CORP,B15SK50,"23,301","2,679,086",0.04%
AMOTIV LTD,BQH8HH4,"90,414","958,386",0.02%
AMP LIMITED,6709958,"593,535","940,752",0.02%
AMPHENOL CORP-CL A CL A,2145084,"7,492","840,430",0.01%
AMPLIFON SPA EUR0.02,B14NJ71,83,"3,430",0.00%
AMPLITUDE ENERGY LTD,AU0000361909 (ISIN),"3,709,966","760,543",0.01%
AMPOL LTD,BM91201,"167,236","4,714,375",0.08%
AMS-OSRAM AG,BQPGGN9,"92,165","975,026",0.02%
AMUNDI SA AMUN,BYZR014,15,"1,624",0.00%
ANA HOLDINGS INC,6014908,51,"1,497",0.00%
ANALOG DEVICES INC COM,2032067,514,"176,498",0.00%
ANGLO AMERICAN PLATINUM LTD,6761000,"11,934","581,130",0.01%
ANGLO AMERICAN PLC,B1XZS82,"64,264","3,073,017",0.05%
ANHEUSER-BUSCH INBEV SA/NV,BYYHL23,751,"60,593",0.00%
ANHUI CONCH CEMENT CO LTD-A,BP3R2Z1,"42,209","220,818",0.00%
ANHUI KOUZI DISTILLERY CO -A,BYQDNL2,"17,698","152,782",0.00%
ANHUI YINGJIA DISTILLERY C-A,BYV1VH3,"12,330","146,321",0.00%
ANHUI ZHONGDING SEALING PA-A,BD5CL31,"75,331","217,435",0.00%
ANKER INNOVATIONS TECHNOLO-A,BNR4MR6,"22,606","485,591",0.01%
ANNALY CAPITAL MANAGEMENT IN,BPMQ7X2,381,"11,259",0.00%
ANSELL LTD ORD,6286611,"577,899","19,544,542",0.33%
ANSYS INC COM USD0.01,2045623,97,"53,007",0.00%
ANTA SPORTS PRODUCTS LTD,B1YVKN8,"18,001","291,380",0.00%
ANTOFAGASTA PLC,45614,"70,184","2,257,268",0.04%
ANZ Bank,AU000000ANZ3,"1,347,696","38,463,255",0.64%
AON PLC,BLP1HW5,"6,717","3,896,281",0.06%
AP MOELLER-MAERSK A/S-B,4253048,116,"308,558",0.01%
APA CORP,BNNF1C1,219,"8,154",0.00%
APA GROUP NPV,B931078,"73,893","515,031",0.01%
APOLLO GLOBAL MANAGEMENT INC,BN44JF6,"6,777","1,807,836",0.03%
APOLLO HOSPITALS ENTERPRISE LTD,6273583,"9,199","1,266,186",0.02%
APPLE INC,2046251,"33,661","13,614,521",0.23%
APPLIED MATLS INC COM,2046552,"3,165","831,439",0.01%
APPLOVIN CORP-CLASS A,BMV3LG4,"11,206","5,860,782",0.10%
APTIV HOLDINGS LTD,JE00BTDN8H13 (ISIN),327,"31,967",0.00%
ARB CORPORATION LIMITED NPV,BWV03W5,"29,614","1,202,614",0.02%
ARC RESOURCES LTD COM NPV,B6463M8,763,"22,351",0.00%
ARCA CONTINENTAL SAB DE CV,2823885,"62,573","839,610",0.01%
ARCADIS NV EUR0.05,5769209,"16,166","1,589,752",0.03%
ARCADIUM LITHIUM PLC-CDI,BS715X9,-49,-404,0.00%
ARCH CAPITAL GROUP LTD COM USD0.01,2740542,497,"74,113",0.00%
ARCH RESOURCES INC,BLB8B95,"3,558","811,618",0.01%
ARCHER DANIELS MIDLAND COM,2047317,566,"46,162",0.00%
ARENA REIT,B99K263,"367,763","1,430,597",0.02%
ARES MANAGEMENT CORP,BF14BT1,152,"43,577",0.00%
ARGENX SE ARGX,BNHKYX4,63,"63,131",0.00%
ARISTA NETWORKS INC,US0404132054 (ISIN),"1,084","193,542",0.00%
ARISTOCRAT LEISURE LTD,6253983,"394,580","26,973,488",0.45%
ARKEMA EUR10,B0Z5YZ2,51,"6,264",0.00%
ARTHUR J GALLAGHER & CO COM,2359506,279,"127,880",0.00%
ASAHI GROUP HOLDINGS LTD,6054409,"1,489","25,352",0.00%
ASAHI KASEI CORP ORD,6054603,836,"9,389",0.00%
ASANA INC - CL A,BLFDQC4,"58,505","1,915,363",0.03%
ASE TECHNOLOGY HOLDINGS CO LTD,BFXZDY1,"181,582","1,449,171",0.02%
ASHTEAD GROUP PLC ORD GBP0.10,53673,506,"50,857",0.00%
ASICS CORP,6057378,"100,492","3,211,836",0.05%
ASM INTERNATIONAL NV COM,5165294,"1,987","1,856,526",0.03%
ASML HOLDING NV,B929F46,"15,186","17,237,459",0.29%
ASMPT LTD,6002453,"138,562","2,157,859",0.04%
ASOS PLC ORD GBP0.035,3092725,"114,490","1,031,028",0.02%
ASPEN TECHNOLOGY INC,BP2V812,38,"15,182",0.00%
ASR NEDERLAND NV-W/I,BD9PNF2,-138,"-10,568",0.00%
ASSA ABLOY AB-B,BYPC1T4,"29,425","1,405,651",0.02%
ASSICURAZIONI GENERALI,4056719,850,"38,768",0.00%
ASSOCIATED BRITISH FOODS PLC,673123,"11,597","479,254",0.01%
ASSURANT INC COM USD0.01,2331430,70,"24,038",0.00%
ASTELLAS PHARMA INC SHS,6985383,"1,504","23,722",0.00%
ASTRAZENECA PLC,989529,"1,649","349,218",0.01%
ASUSTEK COMPUTER INC ORD,6051046,"52,178","1,583,432",0.03%
ASYMCHEM LABORATORIES TIAN-A,BD6V5C4,"2,505","41,930",0.00%
AT&T INC,2831811,"7,526","276,781",0.00%
ATLANTA BRAVES HOLDINGS IN-C,BRF2GD4,16,993,0.00%
Atlas Arteria,BZ03TZ1,"457,392","2,172,610",0.04%
ATLAS COPCO AB-A SHS,BLDBN41,"1,930","47,644",0.00%
ATLAS COPCO AB-B SHS,BLDBN52,"3,144","68,679",0.00%
ATLASSIAN CORP PLC-CLASS A,BQ1PC76,"17,280","6,792,521",0.11%
ATMOS ENERGY CORP,2315359,118,"26,583",0.00%
AUB GROUP LTD,B0MBNC3,"236,490","7,378,486",0.12%
AUCKLAND INTL AIRPORT LTD,BKX3XG2,"2,541","20,007",0.00%
AUCKLAND INTL AIRPORT LTD NPV,BLRZSS8,"224,443","1,741,680",0.03%
AUCTION TECHNOLOGY GROUP-WI,BMVQDZ6,"175,573","1,953,290",0.03%
AUDINATE GROUP LTD AD8,BZ9N3B6,-78,-579,0.00%
AURIZON HOLDINGS LTD,B87CVM3,"2,165,159","7,036,766",0.12%
AUSTIN ENGINEERING LTD NPV,6710615,"1,079,006","550,293",0.01%
AUSTRALIAN CLINICAL LABS LTD,BMWLLJ0,"182,106","626,444",0.01%
AUSTRALIAN STOCK EXCHANGE NPV,6129222,"51,102","3,325,696",0.06%
AUSTRALIAN VINTAGE LIMITED,6130677,"171,416","23,998",0.00%
AUTEL INTELLIGENT TECHNOLO-A,BNR4NW8,"26,096","224,821",0.00%
AUTO TRADER GROUP PLC AUTO,BVYVFW2,"119,280","1,913,321",0.03%
AUTODESK INC COM,2065159,"16,910","8,072,692",0.13%
AUTOHELLAS SA OTOEL,BDZTGG0,"8,118","138,214",0.00%
AUTOMATIC DATA PROCESS COM,2065308,"12,861","6,080,816",0.10%
AUTOZONE INC COM,2065955,20,"105,281",0.00%
AVALONBAY COMMUNITIES INC COM USD0.01,2131179,138,"48,935",0.00%
AVANOS MEDICAL INC,BFFVV54,"67,911","1,746,161",0.03%
AVANTOR INC AVTR,BJLT387,636,"21,632",0.00%
AVARY HOLDING SHENZHEN CO -A,BKDQ800,"5,842","46,887",0.00%
AVERY DENNISON CORP COM,2066408,105,"31,629",0.00%
AVIVA PLC,BPQY8M8,"2,914","27,635",0.00%
Avolta,B0R80X9,113,"7,311",0.00%
AVZ MINERALS LTD AVZ,B23G0B9,"-1,102",-860,0.00%
AXA PARIS ACT ORD,7088429,"1,895","108,789",0.00%
AXIS CAPITAL HOLDINGS LTD COM USD0.0125,2677606,"10,197","1,459,494",0.02%
AXON ENTERPRISE INC,BDT5S35,75,"72,044",0.00%
AZELIS GROUP NV,BMHT025,"20,435","649,342",0.01%
AZRIELI GROUP ILS0.01,B5MN1W0,-28,"-3,681",0.00%
B3 SA-BRASIL BOLSA BALCAO,BG36ZK1,"1,340,682","3,617,207",0.06%
BACHEM HOLDING AG-REG B,BMXVKB4,113,"11,698",0.00%
BAKER HUGHES A GE CO,BDHLTQ5,"1,045","69,234",0.00%
BALL CORP COM,2073022,325,"28,896",0.00%
BALOISE HOLDING AG - REG,7124594,19,"5,685",0.00%
BANCO BILBAO VIZCAYA ARGENTA,5501906,"5,882","92,979",0.00%
BANCO BPM SPA,BYMD5K9,651,"8,503",0.00%
BANCO BRADESCO SA-PREF PRF NPV,B00FM53,"510,288","1,542,200",0.03%
BANCO DE SABADELL SA EUR0.5,B1X8QN2,"5,980","18,773",0.00%
BANCO DO BRASIL SA COM NPV,2328595,"161,043","1,017,622",0.02%
BANCO SANTANDER CENTRA,5705946,"34,495","257,563",0.00%
BANCOLOMBIA S.A.-SPONS ADR SPON ADR REPR,2082567,"35,332","1,798,140",0.03%
BANDAI NAMCO HOLDINGS INC,B0JDQD4,693,"26,921",0.00%
BANGKOK BANK-FOR REG,6077019,"37,439","267,801",0.00%
BANGKOK DUSIT MED SERVICE-F THB1(ALIEN),BLZGSM7,"676,317","784,933",0.01%
BANK CENTRAL ASIA TBK,B01C1P6,"11,031,946","10,710,471",0.18%
BANK HAPOALIM BM ILS1,6075808,"1,538","30,003",0.00%
BANK LEUMI LE-ISRAEL ILS1,6076425,941,"18,076",0.00%
BANK MANDIRI TBK PT,6651048,"2,018,259","1,154,403",0.02%
BANK MONTREAL QUE COM,2076009,685,"107,292",0.00%
BANK NEGARA INDONESIA (PERSERO) TBK,6727121,"1,507,395","657,994",0.01%
BANK NOVA SCOTIA HALIF COM,2076281,"1,143","99,119",0.00%
BANK OF AMERICA CORP,2295677,"119,161","8,458,607",0.14%
BANK OF BEIJING CO LTD -A,BP3R2W8,"69,173","93,591",0.00%
BANK OF CHONGQING CO LTD-A,CNE100004C60 (ISIN),"81,934","167,276",0.00%
BANK OF GEORGIA GROUP PLC,BF4HYT8,"6,001","571,702",0.01%
BANK OF IRELAND GROUP PLC BIRG,BD1RP61,"10,410","153,318",0.00%
BANK OF JIANGSU CO LTD-A,BYW5MY8,"266,043","574,754",0.01%
BANK OF NEW YORK MELLON CORP,B1Z77F6,866,"107,446",0.00%
BANK OF NINGBO CO LTD -A,BD5CP06,"27,610","147,665",0.00%
BANK OF QUEENSLAND LTD,6076243,"327,373","2,193,399",0.04%
BANK RAKYAT INDONESIA PERSER,6709099,"6,050,196","2,477,052",0.04%
BANK ST PETERSBURG PJSC BSPB,B596R68,"115,716",0,0.00%
BANK SYARIAH INDONESIA TBK P,BFY6H41,"742,105","203,298",0.00%
BANNERMAN ENERGY LTD,B07DXJ1,"236,846","686,855",0.01%
BANQUE CANTONALE VAUDOIS-REG,BMFY8R3,1,176,0.00%
BAOSHAN IRON & STEEL CO-A,BP3R2Y0,"447,000","688,375",0.01%
BAPCOR LTD,BLD2CY7,"1,615,573","7,625,504",0.13%
BARCLAYS,3134865,"225,473","1,222,981",0.02%
BARRATT REDROW PLC,81180,"19,558","174,109",0.00%
BARRICK GOLD CORP COM,2024644,"1,706","42,712",0.00%
BARRY CALLEBAUT AG CHF100(REGD),5476929,1,"2,691",0.00%
BASF SE,5086577,"2,908","206,489",0.00%
BAXTER INTL INC COM,2085102,550,"25,913",0.00%
BAYERISCHE MOTOREN WERKE-PFD NON VTG PRF,5756030,17,"2,055",0.00%
BCE INC COM,B188TH2,50,"1,856",0.00%
BE SEMICONDUCTOR INDUSTRIES,BG0SCK9,"23,236","5,141,363",0.09%
BEACH ENERGY LTD,6088204,"3,384,849","4,721,865",0.08%
BEACON LIGHTING GROUP LTD,BKXF175,"326,563","996,016",0.02%
BECHTLE AG NPV,5932409,32,"1,687",0.00%
BECTON DICKINSON AND CO,2087807,"9,054","3,317,659",0.06%
BEGA CHEESE LTD NPV,B56CQJ5,"162,147","935,589",0.02%
BEIERSDORF AG BEIERSDORF AG,5107401,"30,386","6,301,640",0.10%
BEIGENE LTD-A,BNHPM91,"51,145","1,811,754",0.03%
BEIGENE LTD-ADR,BYYWPW6,"9,387","2,800,373",0.05%
BEIJER REF AB,BP2NJ48,284,"6,769",0.00%
BEIJING CAPITAL CO LTD-A,BP3R7K1,"661,933","477,648",0.01%
BEIJING KINGSOFT OFFICE SO-A,BNR4NQ2,"1,633","102,857",0.00%
BEIJING NEW BUILDING MATER-A,BD5CJ26,"60,552","403,767",0.01%
BEIJING ORIENTAL YUHONG-A,BD5CFP1,"29,053","82,963",0.00%
BEIJING SEEYON INTERNET SO-A,BNHPN43,"8,513","37,586",0.00%
BEIJING ULTRAPOWER SOFTWARE-A,BD5CLJ7,"212,458","541,721",0.01%
BELLEVUE GOLD LTD BGL,BFZ31P0,"1,164,409","1,309,961",0.02%
Beluga Group PJSC,B57QZY4,"37,124",0,0.00%
BENDIGO AND ADELAIDE BANK,6091280,"188,867","2,474,154",0.04%
BENTLEY SYSTEMS INC-CLASS B BSY,BMC1PR6,268,"20,241",0.00%
BERKELEY GROUP HOLDINGS/THE,BP0RGD0,483,"38,081",0.00%
BERKLEY W R CORP COM,2093644,289,"27,288",0.00%
BERKSHIRE HATHAWAY INC-CL B CLASS'B'COM,2073390,"5,454","3,993,109",0.07%
BEST BUY INC COM,2094670,178,"24,708",0.00%
BESTECHNIC SHANGHAI CO LTD-A,BNHPNS7,742,"53,101",0.00%
BETMAKERS TECHNOLOGY GROUP L BET,BJDXBQ1,"1,103,896","115,909",0.00%
BHARTI AIRTEL LIMITED,6442327,"218,549","6,546,025",0.11%
BHP GROUP LTD,6144690,"2,417,780","95,623,207",1.59%
BID CORP LTD BID,BZBFKT7,"22,434","826,757",0.01%
BIOGEN INC,2455965,144,"35,621",0.00%
BIOMARIN PHARMACEUTICAL INC COM USD0.001,2437071,219,"23,295",0.00%
BIOMERIEUX,BF0LBX7,76,"13,178",0.00%
BIONTECH SE-ADR,BK6H543,"18,179","3,345,647",0.06%
BIO-RAD LABORATORIES-A,2098508,"1,661","881,152",0.01%
BIO-TECHNE CORP,BSHZ3Q0,328,"38,184",0.00%
BIO-THERA SOLUTIONS LTD-A,CN1000001000 (ISIN),"4,891","20,854",0.00%
BIZLINK HOLDING INC 3665,B5SG8Y4,"66,678","2,010,340",0.03%
BJ'S WHOLESALE CLUB HOLDINGS BJ,BFZNZF8,"13,392","1,932,610",0.03%
BKW AG CHF2.50,B76D410,35,"9,366",0.00%
BLACKROCK FUNDING INC/DE,US09290D1019 (ISIN),152,"252,337",0.00%
BLACKSTONE GROUP INC/THE,BKF2SL7,720,"200,420",0.00%
BLOCK INC,BYNZGK1,"14,924","2,048,661",0.03%
BLOCK INC - CDI,BMHJ8W1,"179,818","25,350,806",0.42%
BLUESCOPE STEEL LTD,6533232,"491,332","9,183,000",0.15%
BMW,5756029,381,"50,351",0.00%
BNP PARIBAS S.A.,7309681,"1,079","106,907",0.00%
BOC HONG KONG HOLDINGS LTD,6536112,"4,896","25,396",0.00%
BOE TECHNOLOGY GROUP CO LT-A,BD5CPL7,"670,948","647,997",0.01%
BOLIDEN AB,BPYTZ57,328,"14,905",0.00%
BOLLORE SE,4572709,273,"2,713",0.00%
BOMBARDIER INC-B,BN33PL2,"6,758","741,900",0.01%
BOOHOO.COM PLC BOO,BG6L729,"442,572","301,332",0.01%
BOOKING HOLDINGS INC,BDRXDB4,"2,341","18,784,946",0.31%
BOSS RESOURCES LTD BOE,B1XLCQ6,"314,340","763,847",0.01%
BOSTON SCIENTIFIC CORP COM,2113434,"1,693","244,248",0.00%
BOUYGUES SA,4002121,251,"12,003",0.00%
BP PLC SHS,798059,"44,495","353,715",0.01%
BRAMBLES LTD NPV,B1FJ0C0,"1,055,392","20,305,739",0.34%
BRENNTAG SE,B4YVF56,664,"64,251",0.00%
BREVILLE GROUP LTD,6158709,"226,761","8,022,807",0.13%
BRICKWORKS LIMITED,6315593,-91,"-2,346",0.00%
BRIDGESTONE CORP COM,6132101,456,"25,040",0.00%
BRISTOL MYERS SQUIBB C COM,2126335,"2,159","197,247",0.00%
BRITISH AMERICAN TOBAC ORD,287580,"25,775","1,501,551",0.03%
BROADCOM INC,BDZ78H9,"20,565","7,700,676",0.13%
BROADRIDGE FINANCIAL SOL-W/I COM STK USD,B1VP7R6,"6,523","2,382,034",0.04%
BROTHER INDUSTRIES LTD,6146500,42,"1,163",0.00%
BROWN & BROWN INC COM,2692687,265,"43,746",0.00%
