Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,19453.41886,0.00000829,,CAD,
31/12/2024,Sustainable Growth,Cash,,Citigroup Inc,,15628.77587,0.00000666,,CAD,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,-157.670718,-0.00000007,,CAD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,104714.111,0.00004462,,CAD,
31/12/2024,Sustainable Growth,Cash,,Merrill Lynch & Co,,211.996371,0.00000009,,CAD,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,2180.785931,0.00000093,,CHF,
31/12/2024,Sustainable Growth,Cash,,CIT Bank,,0.086375,0,,CHF,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,350053.3013,0.00014915,,CHF,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,8.310279,0,,CZK,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,107889.2214,0.00004597,,DKK,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,747838.2512,0.00031864,,EUR,
31/12/2024,Sustainable Growth,Cash,,Citigroup Inc,,-48365.56643,-0.00002061,,EUR,
31/12/2024,Sustainable Growth,Cash,,Credit Suisse Group AG,,0.000916,0,,EUR,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,8760.268418,0.00000373,,EUR,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,1900324.439,0.0008097,,EUR,
31/12/2024,Sustainable Growth,Cash,,Macquarie Group Ltd,,-15.684596,-0.00000001,,EUR,
31/12/2024,Sustainable Growth,Cash,,Merrill Lynch & Co,,-4795.669685,-0.00000204,,EUR,
31/12/2024,Sustainable Growth,Cash,,Morgan Stanley,,-25719.80109,-0.00001096,,EUR,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,123755.0143,0.00005273,,GBP,
31/12/2024,Sustainable Growth,Cash,,Citigroup Inc,,12176.72571,0.00000519,,GBP,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,-4401.797034,-0.00000188,,GBP,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,530297.7058,0.00022595,,GBP,
31/12/2024,Sustainable Growth,Cash,,Merrill Lynch & Co,,202.729031,0.00000009,,GBP,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,0.003052,0,,HKD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,440527.2343,0.0001877,,HKD,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,59.372957,0.00000003,,ILS,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,3848.187364,0.00000164,,ILS,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,83475.47255,0.00003557,,JPY,
31/12/2024,Sustainable Growth,Cash,,Citigroup Inc,,-23817.7023,-0.00001015,,JPY,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,-16121.93791,-0.00000687,,JPY,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,781291.2505,0.0003329,,JPY,
31/12/2024,Sustainable Growth,Cash,,Merrill Lynch & Co,,233.393906,0.0000001,,JPY,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,188412.0719,0.00008028,,KRW,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,94487.83521,0.00004026,,MXN,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,1146.246571,0.00000049,,NOK,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,-5405.440329,-0.0000023,,NZD,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,0.788658,0,,NZD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,44405.75124,0.00001892,,NZD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,62.033342,0.00000003,,PLN,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,5889.69385,0.00000251,,RON,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,0.014143,0,,RUB,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,46.850159,0.00000002,,SEK,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,0.00061,0,,SEK,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,3044.842531,0.0000013,,SEK,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,9258.707146,0.00000394,,SGD,
31/12/2024,Sustainable Growth,Cash,,CSI Bank,,0.000305,0,,SGD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,55493.55433,0.00002364,,SGD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,31373.35529,0.00001337,,TWD,
31/12/2024,Sustainable Growth,Cash,,Barclays Bank PLC,,2471225.574,0.00105295,,USD,
31/12/2024,Sustainable Growth,Cash,,BNP Paribas SA,,3028267.957,0.0012903,,USD,
31/12/2024,Sustainable Growth,Cash,,Citigroup Inc,,275551.1547,0.00011741,,USD,
31/12/2024,Sustainable Growth,Cash,,Goldman Sachs Group Inc/The,,1064973.684,0.00045377,,USD,
31/12/2024,Sustainable Growth,Cash,,HSBC Holdings PLC,,-946581.6504,-0.00040332,,USD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,28703519.33,0.01223013,,USD,
31/12/2024,Sustainable Growth,Cash,,Macquarie Group Ltd,,-14.954802,-0.00000001,,USD,
31/12/2024,Sustainable Growth,Cash,,Merrill Lynch & Co,,11455.33415,0.00000488,,USD,
31/12/2024,Sustainable Growth,Cash,,Royal Bank of Canada,,2287903.987,0.00097484,,USD,
31/12/2024,Sustainable Growth,Cash,,SSB Bank,,30370.40377,0.00001294,,USD,
31/12/2024,Sustainable Growth,Cash,,Westpac Banking Corp,,-25633.4658,-0.00001092,,USD,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,0.000253,0,,ZA1,
31/12/2024,Sustainable Growth,Cash,,JPMorgan Chase & Co,,1292.830917,0.00000055,,ZAR,
31/12/2024,Sustainable Growth,Cash Total,,,,234548972.5,0.09993776,,,
31/12/2024,Sustainable Growth,Fixed Income,Externally Managed,BlackRock Inc,,117294070.3,0.04997723,,,
31/12/2024,Sustainable Growth,Fixed Income,Externally Managed,JPMorgan Chase & Co,,46077146.96,0.01963277,,,
31/12/2024,Sustainable Growth,Fixed Income,Externally Managed,PIMCO Australia Pty Ltd,,204666835.8,0.08720544,,,
31/12/2024,Sustainable Growth,Fixed Income,Externally Managed,Wellington,,6255203.983,0.00266525,,,
31/12/2024,Sustainable Growth,Fixed Income Total,,,,374293257.1,0.15948068,,,
31/12/2024,Sustainable Growth,Listed Equity,,3i Group PLC,23949.08565,1726528.08,0.00073565,,,GB00B1YW4409
31/12/2024,Sustainable Growth,Listed Equity,,3M Co,2068.274019,431225.86,0.00018374,,,US88579Y1010
31/12/2024,Sustainable Growth,Listed Equity,,a2 Milk Co Ltd/The,93348.24248,539552.8415,0.0002299,,,NZATME0002S8
31/12/2024,Sustainable Growth,Listed Equity,,ABB Ltd,30730.95693,2687497.092,0.0011451,,,CH0012221716
31/12/2024,Sustainable Growth,Listed Equity,,Abbott Laboratories,10763.35662,1966313.926,0.00083782,,,US0028241000
31/12/2024,Sustainable Growth,Listed Equity,,AbbVie Inc,4107.232702,1178801.992,0.00050227,,,US00287Y1091
31/12/2024,Sustainable Growth,Listed Equity,,Accent Group Ltd,65577.39234,153451.0981,0.00006538,,,AU000000AX19
31/12/2024,Sustainable Growth,Listed Equity,,Accenture PLC,21957.696,12475971.7,0.00531582,,,IE00B4BNMY34
31/12/2024,Sustainable Growth,Listed Equity,,ACS Actividades de Construccion y Servicios SA,5991.90015,485425.6479,0.00020683,,,ES0167050915
31/12/2024,Sustainable Growth,Listed Equity,,adidas AG,2049.75907,811780.3411,0.00034589,,,DE000A1EWWW0
31/12/2024,Sustainable Growth,Listed Equity,,Adobe Inc,1949.469767,1400129.561,0.00059657,,,US00724F1012
31/12/2024,Sustainable Growth,Listed Equity,,Adriatic Metals PLC,56452.62091,220165.2216,0.00009381,,,AU0000004772
31/12/2024,Sustainable Growth,Listed Equity,,Advanced Drainage Systems Inc,4320.188205,806611.8977,0.00034369,,,US00790R1041
31/12/2024,Sustainable Growth,Listed Equity,,Advanced Micro Devices Inc,3544.841147,691563.2137,0.00029466,,,US0079031078
31/12/2024,Sustainable Growth,Listed Equity,,Advantest Corp,2468.659776,233354.7326,0.00009943,,,JP3122400009
31/12/2024,Sustainable Growth,Listed Equity,,Adyen NV,4176.783311,10038127.95,0.00427709,,,NL0012969182
31/12/2024,Sustainable Growth,Listed Equity,,AECOM,554.676993,95696.67818,0.00004077,,,US00766T1007
31/12/2024,Sustainable Growth,Listed Equity,,Aflac Inc,716.682791,119734.5816,0.00005102,,,US0010551028
31/12/2024,Sustainable Growth,Listed Equity,,AGCO Corp,11959.50781,1805660.645,0.00076936,,,US0010841023
31/12/2024,Sustainable Growth,Listed Equity,,Agilent Technologies Inc,20704.09687,4492269.033,0.00191409,,,US00846U1016
31/12/2024,Sustainable Growth,Listed Equity,,AIA Group Ltd,275631.7702,3226526.318,0.00137477,,,HK0000069689
31/12/2024,Sustainable Growth,Listed Equity,,Airbnb Inc,8374.156834,1777352.74,0.0007573,,,US0090661010
31/12/2024,Sustainable Growth,Listed Equity,,Air Canada,27000.9663,674977.1604,0.0002876,,,CA0089118776
31/12/2024,Sustainable Growth,Listed Equity,,Air Liquide SA,9593.653758,2517771.739,0.00107278,,,FR0000120073
31/12/2024,Sustainable Growth,Listed Equity,,Akamai Technologies Inc,3476.953003,537140.5215,0.00022887,,,US00971T1016
31/12/2024,Sustainable Growth,Listed Equity,,Allegion plc,9641.659337,2035002.896,0.00086708,,,IE00BFRT3W74
31/12/2024,Sustainable Growth,Listed Equity,,Allstate Corp/The,1971.841996,613989.206,0.00026161,,,US0200021014
31/12/2024,Sustainable Growth,Listed Equity,,Ally Financial Inc,1899.325115,110465.4739,0.00004707,,,US02005N1000
31/12/2024,Sustainable Growth,Listed Equity,,Alphabet Inc,15368.95002,4727227.394,0.0020142,,,US02079K1079
31/12/2024,Sustainable Growth,Listed Equity,,Alphabet Inc,46055.06774,14080956.67,0.00599968,,,US02079K3059
31/12/2024,Sustainable Growth,Listed Equity,,Alpha HPA Ltd,567069.1904,504691.5795,0.00021504,,,AU0000033060
31/12/2024,Sustainable Growth,Listed Equity,,ALS Ltd,373701.0557,5635411.92,0.00240116,,,AU000000ALQ6
31/12/2024,Sustainable Growth,Listed Equity,,Alstom SA,3318.03303,119641.9451,0.00005098,,,FR0010220475
31/12/2024,Sustainable Growth,Listed Equity,,Amazon.com Inc,84237.03715,29848604.67,0.01271804,,,US0231351067
31/12/2024,Sustainable Growth,Listed Equity,,Amcor PLC,84451.7571,1264242.804,0.00053867,,,AU000000AMC4
31/12/2024,Sustainable Growth,Listed Equity,,American Water Works Co Inc,15848.13957,3186521.677,0.00135773,,,US0304201033
31/12/2024,Sustainable Growth,Listed Equity,,Amotiv Ltd,4467.142995,47351.71575,0.00002018,,,AU0000340770
31/12/2024,Sustainable Growth,Listed Equity,,AMP Ltd,343576.4396,544568.6567,0.00023203,,,AU000000AMP6
31/12/2024,Sustainable Growth,Listed Equity,,Analog Devices Inc,12495.37996,4287762.946,0.00182695,,,US0326541051
31/12/2024,Sustainable Growth,Listed Equity,,Annaly Capital Management Inc,12712.05493,375725.7595,0.00016009,,,US0357108390
31/12/2024,Sustainable Growth,Listed Equity,,ANTA Sports Products Ltd,212990.3421,3447593.639,0.00146897,,,KYG040111059
31/12/2024,Sustainable Growth,Listed Equity,,ANZ Group Holdings Ltd,770974.5927,22003614.88,0.00937541,,,AU000000ANZ3
31/12/2024,Sustainable Growth,Listed Equity,,A O Smith Corp,3089.682001,340381.5023,0.00014503,,,US8318652091
31/12/2024,Sustainable Growth,Listed Equity,,AP Moller - Maersk A/S,253.809083,656882.9103,0.00027989,,,DK0010244425
31/12/2024,Sustainable Growth,Listed Equity,,AP Moller - Maersk A/S,440.501479,1176120.349,0.00050113,,,DK0010244508
31/12/2024,Sustainable Growth,Listed Equity,,Apple Inc,56155.83825,22712662.55,0.00967752,,,US0378331005
31/12/2024,Sustainable Growth,Listed Equity,,Applied Materials Inc,4326.326257,1136381.229,0.00048419,,,US0382221051
31/12/2024,Sustainable Growth,Listed Equity,,AppLovin Corp,459.787883,240479.8711,0.00010246,,,US03831W1080
31/12/2024,Sustainable Growth,Listed Equity,,Aptiv PLC,27455.4665,2681913.291,0.00114272,,,JE00BTDN8H13
31/12/2024,Sustainable Growth,Listed Equity,,Arafura Rare Earths Ltd,261760.3487,30102.44381,0.00001283,,,AU000000ARU5
31/12/2024,Sustainable Growth,Listed Equity,,ARB Corp Ltd,35708.87288,1450137.328,0.00061788,,,AU000000ARB5
31/12/2024,Sustainable Growth,Listed Equity,,Arcadium Lithium PLC,48556.73999,398165.2679,0.00016965,,,AU0000305724
31/12/2024,Sustainable Growth,Listed Equity,,Argenx SE,105.689497,106056.4552,0.00004519,,,NL0010832176
31/12/2024,Sustainable Growth,Listed Equity,,Arista Networks Inc,3395.178648,606103.6818,0.00025825,,,US0404132054
31/12/2024,Sustainable Growth,Listed Equity,,Asahi Kasei Corp,38341.37215,430478.1029,0.00018342,,,JP3111200006
31/12/2024,Sustainable Growth,Listed Equity,,ASML Holding NV,7410.562026,8411685.174,0.00358409,,,NL0010273215
31/12/2024,Sustainable Growth,Listed Equity,,Assa Abloy AB,89667.64825,4283403.939,0.00182509,,,SE0007100581
31/12/2024,Sustainable Growth,Listed Equity,,Associated British Foods PLC,10618.32286,438804.738,0.00018697,,,GB0006731235
31/12/2024,Sustainable Growth,Listed Equity,,Astellas Pharma Inc,25843.78203,407553.7888,0.00017365,,,JP3942400007
31/12/2024,Sustainable Growth,Listed Equity,,AstraZeneca PLC,8067.022856,1708142.168,0.00072781,,,GB0009895292
31/12/2024,Sustainable Growth,Listed Equity,,ASX Ltd,55345.96691,3601915.526,0.00153472,,,AU000000ASX7
31/12/2024,Sustainable Growth,Listed Equity,,Atlassian Corp,2149.276917,844853.4544,0.00035998,,,US0494681010
31/12/2024,Sustainable Growth,Listed Equity,,AT&T Inc,25044.55343,921044.1408,0.00039244,,,US00206R1023
31/12/2024,Sustainable Growth,Listed Equity,,AUB Group Ltd,28189.62163,879516.1947,0.00037475,,,AU000000AUB9
31/12/2024,Sustainable Growth,Listed Equity,,Auckland International Airport Ltd,107650.7122,835369.527,0.00035594,,,NZAIAE0002S6
31/12/2024,Sustainable Growth,Listed Equity,,Audinate Group Ltd,9227.79663,68377.97303,0.00002913,,,AU000000AD88
31/12/2024,Sustainable Growth,Listed Equity,,Aussie Broadband Ltd,78200.57342,279958.0528,0.00011929,,,AU0000106643
31/12/2024,Sustainable Growth,Listed Equity,,Australian Clinical Labs Ltd,30079.65226,103474.0038,0.00004409,,,AU0000148496
31/12/2024,Sustainable Growth,Listed Equity,,Australian Ethical Investment Ltd,52285.65925,281296.8468,0.00011986,,,AU000000AEF4
31/12/2024,Sustainable Growth,Listed Equity,,Australian Finance Group Ltd,57385.77721,86652.52359,0.00003692,,,AU000000AFG9
31/12/2024,Sustainable Growth,Listed Equity,,Autodesk Inc,408.871775,195187.3239,0.00008317,,,US0527691069
31/12/2024,Sustainable Growth,Listed Equity,,Automatic Data Processing Inc,3129.026266,1479382.797,0.00063034,,,US0530151036
31/12/2024,Sustainable Growth,Listed Equity,,Aviva PLC,132795.381,1259266.314,0.00053655,,,GB00BPQY8M80
31/12/2024,Sustainable Growth,Listed Equity,,Axon Enterprise Inc,470.58827,451716.0987,0.00019247,,,US05464C1018
31/12/2024,Sustainable Growth,Listed Equity,,Ball Corp,29772.77045,2651009.989,0.00112956,,,US0584981064
31/12/2024,Sustainable Growth,Listed Equity,,Bandai Namco Holdings Inc,14426.23057,560262.7219,0.00023872,,,JP3778630008
31/12/2024,Sustainable Growth,Listed Equity,,Bank of America Corp,43379.75246,3079286.312,0.00131204,,,US0605051046
31/12/2024,Sustainable Growth,Listed Equity,,Bank of New York Mellon Corp/The,16409.6444,2036264.203,0.00086762,,,US0640581007
31/12/2024,Sustainable Growth,Listed Equity,,Bank of Nova Scotia/The,2314.36854,200621.8238,0.00008548,,,CA0641491075
31/12/2024,Sustainable Growth,Listed Equity,,Bank of Queensland Ltd,53255.87498,356814.3624,0.00015203,,,AU000000BOQ8
31/12/2024,Sustainable Growth,Listed Equity,,Bapcor Ltd,108445.5107,511862.8106,0.0002181,,,AU000000BAP9
31/12/2024,Sustainable Growth,Listed Equity,,Barclays PLC,96871.75252,525438.6036,0.00022388,,,GB0031348658
31/12/2024,Sustainable Growth,Listed Equity,,Bayer AG,913.404117,29504.57304,0.00001257,,,DE000BAY0017
31/12/2024,Sustainable Growth,Listed Equity,,Becton Dickinson & Co,28567.47571,10467743.22,0.00446015,,,US0758871091
31/12/2024,Sustainable Growth,Listed Equity,,Bega Cheese Ltd,42884.42452,247443.1295,0.00010543,,,AU000000BGA8
31/12/2024,Sustainable Growth,Listed Equity,,Bellevue Gold Ltd,165807.5699,186533.5198,0.00007948,,,AU0000019374
31/12/2024,Sustainable Growth,Listed Equity,,Bendigo & Adelaide Bank Ltd,73953.5634,968791.6806,0.00041279,,,AU000000BEN6
31/12/2024,Sustainable Growth,Listed Equity,,BioMarin Pharmaceutical Inc,2387.656877,253477.6502,0.000108,,,US09061G1013
31/12/2024,Sustainable Growth,Listed Equity,,Bio-Rad Laboratories Inc,3133.655003,1662661.723,0.00070843,,,US0905722072
31/12/2024,Sustainable Growth,Listed Equity,,BKW AG,4801.543264,1285306.316,0.00054765,,,CH0130293662
31/12/2024,Sustainable Growth,Listed Equity,,Block Inc,5893.189639,830821.8753,0.000354,,,AU0000187353
31/12/2024,Sustainable Growth,Listed Equity,,BlueScope Steel Ltd,123611.5077,2310299.079,0.00098438,,,AU000000BSL0
31/12/2024,Sustainable Growth,Listed Equity,,BNP Paribas SA,1139.440778,112853.2773,0.00004809,,,FR0000131104
31/12/2024,Sustainable Growth,Listed Equity,,Boliden AB,3922.854675,178047.149,0.00007586,,,SE0020050417
31/12/2024,Sustainable Growth,Listed Equity,,Booking Holdings Inc,461.330796,3701986.84,0.00157736,,,US09857L1089
31/12/2024,Sustainable Growth,Listed Equity,,Booz Allen Hamilton Holding Corp,2582.063834,536722.3074,0.00022869,,,US0995021062
31/12/2024,Sustainable Growth,Listed Equity,,Bouygues SA,9044.552254,431712.9265,0.00018395,,,FR0000120503
31/12/2024,Sustainable Growth,Listed Equity,,BPER Banca SPA,24500.67682,251348.2537,0.0001071,,,IT0000066123
31/12/2024,Sustainable Growth,Listed Equity,,BrainChip Holdings Ltd,231951.9714,90461.26886,0.00003854,,,AU000000BRN8
31/12/2024,Sustainable Growth,Listed Equity,,Brambles Ltd,649576.7115,12497855.93,0.00532515,,,AU000000BXB1
31/12/2024,Sustainable Growth,Listed Equity,,Breville Group Ltd,76577.44862,2709310.132,0.0011544,,,AU000000BRG2
31/12/2024,Sustainable Growth,Listed Equity,,Bristol-Myers Squibb Co,6652.26664,607691.5161,0.00025893,,,US1101221083
31/12/2024,Sustainable Growth,Listed Equity,,Broadcom Inc,13820.63746,5175121.683,0.00220504,,,US11135F1012
31/12/2024,Sustainable Growth,Listed Equity,,Brother Industries Ltd,3085.82472,85545.00916,0.00003645,,,JP3830000000
31/12/2024,Sustainable Growth,Listed Equity,,Brown & Brown Inc,6497.203948,1070572.152,0.00045615,,,US1152361010
31/12/2024,Sustainable Growth,Listed Equity,,Bunge Global SA,6098.361103,765902.5441,0.00032634,,,CH1300646267
31/12/2024,Sustainable Growth,Listed Equity,,Cadence Design Systems Inc,357.184211,173333.7138,0.00007385,,,US1273871087
31/12/2024,Sustainable Growth,Listed Equity,,Calix Ltd,7912.159936,5934.119952,0.00000253,,,AU0000017840
31/12/2024,Sustainable Growth,Listed Equity,,Canadian Imperial Bank of Commerce,7020.251238,716876.6813,0.00030545,,,CA1360691010
31/12/2024,Sustainable Growth,Listed Equity,,Canadian Pacific Kansas City Ltd,22069.48802,2579615.357,0.00109914,,,CA13646K1084
31/12/2024,Sustainable Growth,Listed Equity,,Canadian Tire Corp Ltd,9026.037306,1532819.322,0.00065311,,,CA1366812024
31/12/2024,Sustainable Growth,Listed Equity,,Capricorn Metals Ltd,24189.42738,151909.6039,0.00006473,,,AU000000CMM9
31/12/2024,Sustainable Growth,Listed Equity,,Capstone Copper Corp,59413.49421,582846.3781,0.00024834,,,AU0000318552
31/12/2024,Sustainable Growth,Listed Equity,,Cardinal Health Inc,3608.100554,689219.1749,0.00029367,,,US14149Y1082
31/12/2024,Sustainable Growth,Listed Equity,,CAR Group Ltd,97827.07295,3524709.438,0.00150183,,,AU000000CAR3
31/12/2024,Sustainable Growth,Listed Equity,,Carlsberg AS,3129.797722,484328.8687,0.00020637,,,DK0010181759
31/12/2024,Sustainable Growth,Listed Equity,,Carnival Corp,22390.74417,901198.9706,0.00038399,,,PA1436583006
31/12/2024,Sustainable Growth,Listed Equity,,Carvana Co,178.206378,58531.93872,0.00002494,,,US1468691027
31/12/2024,Sustainable Growth,Listed Equity,,Caterpillar Inc,518.418553,303741.4456,0.00012942,,,US1491231015
31/12/2024,Sustainable Growth,Listed Equity,,CBRE Group Inc,17962.30237,3808884.24,0.00162291,,,US12504L1098
31/12/2024,Sustainable Growth,Listed Equity,,CDW Corp/DE,4018.515242,1129584.739,0.0004813,,,US12514G1085
31/12/2024,Sustainable Growth,Listed Equity,,Centene Corp,9385.535886,918316.6652,0.00039128,,,US15135B1017
31/12/2024,Sustainable Growth,Listed Equity,,Cettire Ltd,26470.80553,39970.91635,0.00001703,,,AU0000122210
31/12/2024,Sustainable Growth,Listed Equity,,Chalice Mining Ltd,56939.58175,62918.23783,0.00002681,,,AU000000CHN7
31/12/2024,Sustainable Growth,Listed Equity,,Challenger Ltd,95442.84113,573611.4752,0.00024441,,,AU000000CGF5
31/12/2024,Sustainable Growth,Listed Equity,,Champion Iron Ltd,397275.5776,2284334.571,0.00097332,,,AU000000CIA2
31/12/2024,Sustainable Growth,Listed Equity,,Charles Schwab Corp/The,69679.45353,8329122.752,0.00354891,,,US8085131055
31/12/2024,Sustainable Growth,Listed Equity,,Check Point Software Technologies Ltd,1572.227695,474093.3732,0.000202,,,IL0010824113
31/12/2024,Sustainable Growth,Listed Equity,,Chorus Ltd,103578.8671,822416.205,0.00035042,,,NZCNUE0001S2
31/12/2024,Sustainable Growth,Listed Equity,,Cintas Corp,6718.611871,1982541.206,0.00084473,,,US1729081059
31/12/2024,Sustainable Growth,Listed Equity,,Cisco Systems Inc,14311.2836,1368372.752,0.00058304,,,US17275R1023
